Security error in: test on action: test (test): occured for user  and session  at time 1566012891 with IP ::1 and on user agent Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0. Additional data:  
Security error in: [TokenSecurity/TokenIdempotency] on action: [addUser] ([failed]): occured for user [] and session [] at time [1566014011] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [addUser] ([failed]): occured for user [] and session [] at time [1566014246] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [addUser] ([failed]): occured for user [] and session [] at time [1566014291] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [addUser] ([failed]): occured for user [] and session [] at time [1566014551] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [AccountSecurity/LoginFail/AccountDoesntExist] on action: [addSession] ([failed]): occured for user [] and session [] at time [1566148614] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18956]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [getUploadEndpoint] ([failed]): occured for user [] and session [] at time [1566407545] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [addSession] ([failed]): occured for user [] and session [] at time [1566407842] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [getUploadEndpoint] ([failed]): occured for user [] and session [] at time [1566408190] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [SessionSecurity] on action: [SessionValidationForProtectedPage] ([failed]): occured for user [] and session [] at time [1566410395] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [AccountSecurity/LoginFail/WrongPassword] on action: [addSession] ([failed]): occured for user [] and session [] at time [1566417723] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [SessionSecurity] on action: [SessionValidationForProtectedPage] ([failed]): occured for user [] and session [] at time [1566669540] with IP [127.0.0.1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [AccountSecurity/LoginFail/WrongPassword] on action: [addSession] ([failed]): occured for user [] and session [] at time [1566669680] with IP [127.0.0.1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [SessionSecurity] on action: [SessionValidationForProtectedPage] ([failed]): occured for user [] and session [] at time [1566671510] with IP [127.0.0.1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [SessionSecurity] on action: [SessionValidationForProtectedPage] ([failed]): occured for user [] and session [] at time [1566673585] with IP [127.0.0.1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [AccountSecurity/LoginFail/WrongPassword] on action: [addSession] ([failed]): occured for user [] and session [] at time [1566673773] with IP [127.0.0.1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [SessionSecurity] on action: [SessionValidationForProtectedPage] ([failed]): occured for user [] and session [] at time [1566673906] with IP [127.0.0.1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [SessionSecurity] on action: [SessionValidationForProtectedPage] ([failed]): occured for user [] and session [] at time [1566674084] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [SessionSecurity] on action: [SessionValidationForProtectedPage] ([failed]): occured for user [] and session [] at time [1566735146] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [editApplication] ([failed]): occured for user [] and session [] at time [1566735322] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [ApplicationIntegrity/ApplicationStatusHigherThan1TryingToBeEdited] on action: [application/id] ([failed]): occured for user [] and session [] at time [1566735611] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [Array] 
Security error in: [AccountSecurity/LoginFail/WrongPassword] on action: [addSession] ([failed]): occured for user [] and session [] at time [1566736698] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [addSession] ([failed]): occured for user [] and session [] at time [1566736699] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [TokenSecurity/TokenIdempotency] on action: [addSession] ([failed]): occured for user [] and session [] at time [1566736706] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
Security error in: [SessionSecurity] on action: [SessionValidationForProtectedPage] ([failed]): occured for user [] and session [] at time [1566736967] with IP [::1] and on user agent [Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0]. Additional data: [] 
